student_id,resource_type,time_spent,completion
130,pdf,110,1
131,pdf,63,2
132,pdf,44,2
133,pdf,44,2
134,pdf,91,0
135,pdf,92,2
136,pdf,42,2
137,pdf,60,1
138,pdf,85,1
139,pdf,54,1
140,pdf,80,2
141,pdf,108,1
142,pdf,82,2
143,pdf,48,0
144,pdf,49,2
145,pdf,97,0
146,pdf,117,1
147,pdf,54,1
148,pdf,96,0
149,pdf,115,0
150,pdf,112,2
151,pdf,97,2
152,pdf,70,1
153,pdf,41,2
154,pdf,88,1
155,pdf,97,2
156,pdf,56,2
157,pdf,87,0
158,pdf,54,1
159,pdf,97,0
160,pdf,67,0
161,pdf,41,2
162,pdf,48,2
163,pdf,47,2
164,pdf,84,1
165,pdf,102,2
166,pdf,95,1
167,pdf,106,0
168,pdf,43,0
169,pdf,111,2
170,pdf,90,0
171,pdf,43,0
172,pdf,116,0
173,pdf,76,2
174,pdf,77,1
175,pdf,113,2
176,pdf,70,1
177,pdf,103,2
178,pdf,65,2
179,pdf,107,1
180,pdf,111,2
181,pdf,77,2
182,pdf,79,2
183,pdf,105,0
184,pdf,77,0
185,pdf,64,0
186,pdf,92,2
187,pdf,112,2
188,pdf,57,1
189,pdf,51,2
190,pdf,47,2
191,pdf,72,0
192,pdf,102,1
193,pdf,110,0
194,pdf,57,2
195,pdf,61,1
196,pdf,103,2
197,pdf,94,1
198,pdf,107,0
199,pdf,97,2
200,pdf,99,1
201,pdf,93,1
202,pdf,94,2
203,pdf,86,1
204,pdf,98,0
205,pdf,86,1
206,pdf,77,0
207,pdf,68,0
208,pdf,42,0
209,pdf,50,0
210,pdf,81,0
211,pdf,53,1
212,pdf,111,2
213,pdf,53,2
214,pdf,64,0
215,pdf,75,1
216,pdf,113,1
217,pdf,109,2
218,pdf,85,2
219,pdf,40,0
220,pdf,76,1
221,pdf,111,0
222,pdf,80,0
223,pdf,90,2
224,pdf,89,0
225,pdf,80,0
226,pdf,84,0
227,pdf,59,0
228,pdf,114,1
229,pdf,71,1
230,pdf,47,2
231,pdf,45,0
232,pdf,96,2
233,pdf,101,2
234,pdf,98,2
235,pdf,110,0
236,pdf,105,1
237,pdf,40,0
238,pdf,119,1
239,pdf,117,0
240,pdf,104,2
241,pdf,115,0
242,pdf,47,0
243,pdf,81,0
244,pdf,62,1
245,pdf,115,2
246,pdf,75,2
247,pdf,41,1
248,pdf,109,1
249,pdf,104,2
250,pdf,40,2
251,pdf,88,1
252,pdf,79,0
253,pdf,55,0
254,pdf,77,1
255,pdf,67,2
256,pdf,43,1
257,pdf,103,1
258,pdf,106,1
259,pdf,107,0
260,pdf,46,0
261,pdf,114,2
262,pdf,61,1
263,pdf,88,1
264,pdf,81,1
265,pdf,46,1
266,pdf,91,2
267,pdf,90,0
268,pdf,60,0
269,pdf,82,0
270,pdf,102,2
271,pdf,81,0
272,pdf,70,2
273,pdf,45,2
274,pdf,53,2
275,pdf,58,0
276,pdf,75,0
277,pdf,66,1
278,pdf,88,1
279,pdf,87,2
280,pdf,51,2
281,pdf,97,1
282,pdf,109,2
283,pdf,100,0
284,pdf,80,2
285,pdf,112,2
286,pdf,106,2
287,pdf,75,0
288,pdf,57,1
289,pdf,104,2
290,pdf,77,1
291,pdf,98,1
292,pdf,74,0
293,pdf,112,1
294,pdf,59,0
295,pdf,113,1
296,pdf,45,2
297,pdf,108,0
298,pdf,116,0
299,pdf,75,0
300,pdf,89,0
301,pdf,86,0
302,pdf,80,0
303,pdf,103,0
304,pdf,120,0
305,pdf,93,0
306,pdf,103,1
307,pdf,86,0
308,pdf,59,2
309,pdf,112,0
310,pdf,65,1
311,pdf,86,0
312,pdf,93,2
313,pdf,65,2
314,pdf,50,0
315,pdf,118,1
316,pdf,91,0
317,pdf,110,0
318,pdf,95,1
319,pdf,45,2
320,pdf,67,1
321,pdf,108,2
322,pdf,68,1
323,pdf,49,2
324,pdf,45,2
325,pdf,83,0
326,pdf,103,1
327,pdf,66,1
328,pdf,40,0
329,pdf,52,1
330,pdf,51,1
331,pdf,50,2
332,pdf,69,2
333,pdf,81,1
334,pdf,117,0
335,pdf,115,1
336,pdf,40,0
337,pdf,73,2
338,pdf,103,0
339,pdf,119,1
340,pdf,97,2
341,pdf,62,0
342,pdf,42,0
343,pdf,76,1
344,pdf,114,0
345,pdf,117,1
346,pdf,117,0
347,pdf,64,0
348,pdf,66,0
349,pdf,72,2
350,pdf,71,0
351,pdf,92,2
352,pdf,73,1
353,pdf,53,1
354,pdf,81,0
355,pdf,117,0
356,pdf,46,0
357,pdf,45,2
358,pdf,89,1
359,pdf,43,1
360,pdf,63,2
361,pdf,114,1
362,pdf,95,2
363,pdf,109,1
364,pdf,113,2
365,pdf,63,1
366,pdf,100,2
367,pdf,107,2
368,pdf,45,2
369,pdf,108,2
370,pdf,66,0
371,pdf,72,1
372,pdf,104,0
373,pdf,61,0
374,pdf,81,1
375,pdf,45,2
376,pdf,115,0
377,pdf,71,1
378,pdf,67,1
379,pdf,66,0
380,pdf,120,2
381,pdf,60,0
382,pdf,96,0
383,pdf,48,0
384,pdf,115,1
385,pdf,62,1
386,pdf,75,2
387,pdf,88,1
388,pdf,94,1
389,pdf,95,1
390,pdf,50,0
391,pdf,83,2
392,pdf,110,2
393,pdf,103,1
394,pdf,83,1
395,pdf,48,0
396,pdf,69,2
397,pdf,70,1
398,pdf,118,1
399,pdf,107,0
400,pdf,52,0
401,pdf,87,0
402,pdf,107,0
403,pdf,103,1
404,pdf,97,1
405,pdf,70,0
406,pdf,51,2
407,pdf,63,2
408,pdf,51,1
409,pdf,71,1
410,pdf,97,1
411,pdf,84,1
412,pdf,92,2
413,pdf,80,1
414,pdf,45,2
415,pdf,118,1
416,pdf,119,2
417,pdf,53,0
418,pdf,59,0
419,pdf,95,2
420,pdf,91,1
421,pdf,78,2
422,pdf,113,0
423,pdf,51,0
424,pdf,74,0
425,pdf,107,2
426,pdf,88,0
427,pdf,98,1
428,pdf,46,1
429,pdf,92,1
430,pdf,78,2
431,pdf,56,2
432,pdf,82,1
433,pdf,81,1
434,pdf,66,2
435,pdf,80,0
436,pdf,65,1
437,pdf,78,0
438,pdf,87,2
439,pdf,42,0
440,pdf,74,2
441,pdf,50,0
442,pdf,77,0
443,pdf,103,1
444,pdf,103,1
445,pdf,76,1
446,pdf,89,0
447,pdf,118,2
448,pdf,75,1
449,pdf,41,0
450,pdf,114,1
451,pdf,67,0
452,pdf,94,1
453,pdf,96,1
454,pdf,104,1
455,pdf,88,2
456,pdf,59,0
457,pdf,114,0
458,pdf,48,2
459,pdf,94,0
460,pdf,100,2
461,pdf,112,1
462,pdf,45,1
463,pdf,92,2
464,pdf,118,2
465,pdf,96,2
466,pdf,88,1
467,pdf,104,1
468,pdf,109,0
469,pdf,108,1
470,pdf,80,2
471,pdf,57,1
472,pdf,55,0
473,pdf,57,0
474,pdf,97,0
475,pdf,75,2
476,pdf,92,0
477,pdf,57,1
478,pdf,91,2
479,pdf,80,2
480,pdf,78,2
481,pdf,109,2
482,pdf,71,1
483,pdf,109,1
484,pdf,86,2
485,pdf,81,2
486,pdf,119,1
487,pdf,59,1
488,pdf,80,1
489,pdf,82,0
490,pdf,52,1
491,pdf,62,0
492,pdf,73,2
493,pdf,109,0
494,pdf,92,1
495,pdf,80,2
496,pdf,50,2
497,pdf,112,2
498,pdf,79,0
499,pdf,52,1
500,pdf,109,2
501,pdf,44,1
502,pdf,117,0
503,pdf,48,1
504,pdf,97,2
505,pdf,91,0
506,pdf,102,1
507,pdf,79,0
508,pdf,81,0
509,pdf,84,0
510,pdf,62,0
511,pdf,95,0
512,pdf,117,1
513,pdf,88,2
514,pdf,83,1
515,pdf,50,2
516,pdf,76,1
517,pdf,73,1
518,pdf,104,2
519,pdf,57,2
520,pdf,98,1
521,pdf,45,2
522,pdf,108,2
523,pdf,53,2
524,pdf,77,2
525,pdf,77,1
526,pdf,108,0
527,pdf,54,0
528,pdf,105,1
529,pdf,119,2
530,pdf,94,0
531,pdf,59,1
532,pdf,82,2
533,pdf,83,1
534,pdf,72,1
535,pdf,71,2
536,pdf,42,2
537,pdf,51,0
538,pdf,81,1
539,pdf,57,1
540,pdf,114,1
541,pdf,67,1
542,pdf,74,1
543,pdf,113,0
544,pdf,52,2
545,pdf,111,0
546,pdf,105,1
547,pdf,54,1
548,pdf,53,0
549,pdf,97,1
550,pdf,117,2
551,pdf,96,1
552,pdf,105,2
553,pdf,63,2
554,pdf,116,1
555,pdf,60,0
556,pdf,82,1
557,pdf,41,0
558,pdf,57,0
559,pdf,44,1
560,pdf,70,2
561,pdf,59,0
562,pdf,96,1
563,pdf,55,1
564,pdf,83,0
565,pdf,85,0
566,pdf,87,1
567,pdf,118,2
568,pdf,98,1
569,pdf,66,1
570,pdf,53,0
571,pdf,66,0
572,pdf,83,1
573,pdf,45,0
574,pdf,67,2
575,pdf,106,2
576,pdf,119,2
577,pdf,119,2
578,pdf,43,0
579,pdf,53,0
580,pdf,45,0
581,pdf,80,2
582,pdf,63,1
583,pdf,49,1
584,pdf,74,0
585,pdf,76,0
586,pdf,98,2
587,pdf,81,0
588,pdf,84,2
589,pdf,91,1
590,pdf,66,1
591,pdf,103,0
592,pdf,85,1
593,pdf,110,2
594,pdf,69,2
595,pdf,50,2
596,pdf,54,1
597,pdf,47,2
598,pdf,74,1
599,pdf,52,0
600,pdf,46,2
601,pdf,115,0
602,pdf,91,0
603,pdf,105,1
604,pdf,46,2
605,pdf,55,2
606,pdf,62,0
607,pdf,73,0
608,pdf,102,0
609,pdf,103,0
610,pdf,67,2
611,pdf,110,0
612,pdf,112,2
613,pdf,110,0
614,pdf,80,1
615,pdf,82,1
616,pdf,106,0
617,pdf,98,2
618,pdf,79,0
619,pdf,67,1
620,pdf,40,2
621,pdf,119,2
622,pdf,76,2
623,pdf,43,2
624,pdf,59,1
625,pdf,93,2
626,pdf,102,2
627,pdf,52,1
628,pdf,114,0
629,pdf,60,1
630,pdf,57,2
631,pdf,120,0
632,pdf,96,0
633,pdf,118,0
634,pdf,53,2
635,pdf,70,2
636,pdf,109,2
637,pdf,106,0
638,pdf,53,1
639,pdf,57,2
640,pdf,98,0
641,pdf,102,0
642,pdf,73,0
643,pdf,120,2
644,pdf,69,2
645,pdf,101,1
646,pdf,101,0
647,pdf,81,1
648,pdf,63,0
649,pdf,103,1
650,pdf,42,0
651,pdf,81,1
652,pdf,113,2
653,pdf,53,0
654,pdf,78,0
655,pdf,99,0
656,pdf,93,2
657,pdf,109,0
658,pdf,63,2
659,pdf,107,0
660,pdf,46,0
661,pdf,63,0
662,pdf,42,2
663,pdf,70,2
664,pdf,52,0
665,pdf,60,1
666,pdf,45,0
667,pdf,76,1
668,pdf,87,0
669,pdf,90,1
670,pdf,112,0
671,pdf,93,1
672,pdf,83,2
673,pdf,88,2
674,pdf,113,0
675,pdf,41,0
676,pdf,78,1
677,pdf,61,1
678,pdf,62,0
679,pdf,119,1
680,pdf,119,0
681,pdf,75,2
682,pdf,64,1
683,pdf,78,0
684,pdf,48,2
685,pdf,113,0
686,pdf,79,2
687,pdf,98,1
688,pdf,94,0
689,pdf,112,0
690,pdf,46,0
691,pdf,57,0
692,pdf,71,2
693,pdf,50,0
694,pdf,40,1
695,pdf,62,0
696,pdf,45,2
697,pdf,69,0
698,pdf,78,2
699,pdf,68,0
700,pdf,88,0
701,pdf,96,2
702,pdf,98,0
703,pdf,60,2
704,pdf,105,2
705,pdf,111,0
706,pdf,80,1
707,pdf,45,2
708,pdf,71,1
709,pdf,119,1
710,pdf,105,0
711,pdf,75,0
712,pdf,58,2
713,pdf,60,1
714,pdf,107,1
715,pdf,93,2
716,pdf,60,0
717,pdf,98,1
718,pdf,63,1
719,pdf,104,1
720,pdf,52,0
721,pdf,99,0
722,pdf,107,2
723,pdf,115,2
724,pdf,98,0
725,pdf,78,0
726,pdf,109,0
727,pdf,75,2
728,pdf,70,1
729,pdf,102,0
730,pdf,77,1
731,pdf,63,0
732,pdf,120,2
733,pdf,73,1
734,pdf,89,2
735,pdf,62,2
736,pdf,90,2
737,pdf,49,2
738,pdf,91,2
739,pdf,80,1
740,pdf,75,2
741,pdf,59,1
742,pdf,45,1
743,pdf,59,2
744,pdf,44,0
745,pdf,47,2
746,pdf,105,1
747,pdf,93,0
748,pdf,81,0
749,pdf,103,2
750,pdf,113,1
751,pdf,69,1
752,pdf,97,2
753,pdf,83,2
754,pdf,78,0
755,pdf,48,2
756,pdf,119,2
757,pdf,97,1
758,pdf,43,1
759,pdf,80,0
760,pdf,86,0
761,pdf,56,2
762,pdf,98,2
763,pdf,116,2
764,pdf,76,0
765,pdf,68,2
766,pdf,112,0
767,pdf,60,0
768,pdf,90,2
769,pdf,49,2
770,pdf,107,0
771,pdf,78,2
772,pdf,57,2
773,pdf,64,0
774,pdf,75,0
775,pdf,107,2
776,pdf,45,2
777,pdf,63,2
778,pdf,55,0
779,pdf,50,1
780,pdf,111,0
781,pdf,69,0
782,pdf,45,1
783,pdf,71,2
784,pdf,68,2
785,pdf,85,2
786,pdf,117,0
787,pdf,87,0
788,pdf,118,0
789,pdf,102,0
790,pdf,100,2
791,pdf,61,0
792,pdf,56,2
793,pdf,94,2
794,pdf,46,2
795,pdf,70,2
796,pdf,50,2
797,pdf,52,0
798,pdf,80,2
799,pdf,117,0
800,pdf,98,1
801,pdf,111,1
802,pdf,45,1
803,pdf,80,1
804,pdf,44,2
805,pdf,107,1
806,pdf,46,1
807,pdf,76,1
808,pdf,102,1
809,pdf,65,2
810,pdf,119,1
811,pdf,73,1
812,pdf,44,1
813,pdf,44,1
814,pdf,117,0
815,pdf,63,2
816,pdf,78,0
817,pdf,94,2
818,pdf,58,0
819,pdf,110,2
820,pdf,72,0
821,pdf,103,1
822,pdf,99,1
823,pdf,62,1
824,pdf,59,2
825,pdf,115,2
826,pdf,47,2
827,pdf,93,0
828,pdf,56,1
829,pdf,68,1
830,pdf,50,0
831,pdf,53,0
832,pdf,40,0
833,pdf,80,2
834,pdf,101,2
835,pdf,60,0
836,pdf,110,0
837,pdf,70,2
838,pdf,103,1
839,pdf,114,0
840,pdf,101,1
841,pdf,64,0
842,pdf,101,0
843,pdf,51,2
844,pdf,71,1
845,pdf,114,2
846,pdf,114,0
847,pdf,43,1
848,pdf,119,2
849,pdf,110,2
850,pdf,55,1
851,pdf,91,2
852,pdf,63,2
853,pdf,73,0
854,pdf,40,1
855,pdf,47,1
856,pdf,58,0
857,pdf,80,2
858,pdf,74,2
859,pdf,106,1
860,pdf,74,1
861,pdf,74,1
862,pdf,105,0
863,pdf,48,0
864,pdf,97,0
865,pdf,67,1
866,pdf,96,2
867,pdf,41,0
868,pdf,59,2
869,pdf,68,2
870,pdf,49,1
871,pdf,87,2
872,pdf,65,1
873,pdf,67,2
874,pdf,48,0
875,pdf,59,1
876,pdf,44,2
877,pdf,78,0
878,pdf,69,0
879,pdf,120,1
880,pdf,100,0
881,pdf,109,2
882,pdf,73,2
883,pdf,53,0
884,pdf,79,0
885,pdf,104,0
886,pdf,60,0
887,pdf,57,1
888,pdf,109,0
889,pdf,55,0
890,pdf,79,2
891,pdf,61,2
892,pdf,107,1
893,pdf,105,1
894,pdf,88,0
895,pdf,58,2
896,pdf,62,0
897,pdf,77,0
898,pdf,41,0
899,pdf,58,1
900,pdf,99,0
901,pdf,101,1
902,pdf,58,0
903,pdf,98,2
904,pdf,44,1
905,pdf,44,1
906,pdf,76,0
907,pdf,68,2
908,pdf,118,1
909,pdf,92,2
910,pdf,96,1
911,pdf,112,0
912,pdf,98,2
913,pdf,52,0
914,pdf,118,0
915,pdf,73,2
916,pdf,81,2
917,pdf,91,0
918,pdf,89,0
919,pdf,41,2
920,pdf,48,1
921,pdf,82,2
922,pdf,58,2
923,pdf,120,2
924,pdf,82,2
925,pdf,90,0
926,pdf,84,0
927,pdf,47,0
928,pdf,48,1
929,pdf,89,1
930,pdf,104,1
931,pdf,78,1
932,pdf,80,0
933,pdf,42,1
934,pdf,89,2
935,pdf,60,0
936,pdf,85,0
937,pdf,95,0
938,pdf,76,2
939,pdf,103,1
940,pdf,53,2
941,pdf,46,2
942,pdf,71,1
943,pdf,102,2
944,pdf,50,0
945,pdf,105,0
946,pdf,51,1
947,pdf,78,1
948,pdf,62,2
949,pdf,97,1
950,pdf,74,0
951,pdf,71,0
952,pdf,53,0
953,pdf,48,1
954,pdf,85,2
955,pdf,63,0
956,pdf,91,2
957,pdf,98,2
958,pdf,67,0
959,pdf,116,0
960,pdf,62,1
961,pdf,93,1
962,pdf,115,1
963,pdf,41,1
964,pdf,106,1
965,pdf,61,1
966,pdf,68,0
967,pdf,80,0
968,pdf,63,2
969,pdf,76,1
970,pdf,70,0
971,pdf,92,1
972,pdf,58,1
973,pdf,103,2
974,pdf,59,0
975,pdf,109,0
976,pdf,42,0
977,pdf,64,1
978,pdf,70,0
979,pdf,74,0
980,pdf,50,1
981,pdf,110,1
982,pdf,80,2
983,pdf,116,1
984,pdf,95,2
985,pdf,118,2
986,pdf,47,0
987,pdf,49,0
988,pdf,104,0
989,pdf,60,0
990,pdf,73,1
991,pdf,92,0
992,pdf,107,2
993,pdf,58,2
994,pdf,69,0
995,pdf,85,2
996,pdf,99,1
997,pdf,95,2
998,pdf,70,0
999,pdf,50,1
1000,pdf,81,0
1001,pdf,98,0
1002,pdf,74,2
1003,pdf,115,1
1004,pdf,53,2
1005,pdf,78,2
1006,pdf,64,1
1007,pdf,60,2
1008,pdf,53,0
1009,pdf,49,2
1010,pdf,112,2
1011,pdf,103,1
1012,pdf,110,2
1013,pdf,45,1
1014,pdf,74,2
1015,pdf,81,0
1016,pdf,114,2
1017,pdf,84,0
1018,pdf,41,2
1019,pdf,107,2
1020,pdf,88,1
1021,pdf,62,2
1022,pdf,102,0
1023,pdf,117,2
1024,pdf,69,2
1025,pdf,50,2
1026,pdf,105,2
1027,pdf,112,1
1028,pdf,65,0
1029,pdf,78,0
1030,pdf,100,2
1031,pdf,74,2
1032,pdf,52,0
1033,pdf,47,0
1034,pdf,64,2
1035,pdf,84,0
1036,pdf,113,0
1037,pdf,80,0
1038,pdf,117,2
1039,pdf,69,1
1040,pdf,79,1
1041,pdf,119,2
1042,pdf,67,2
1043,pdf,68,2
1044,pdf,68,1
1045,pdf,107,0
1046,pdf,44,1
1047,pdf,69,0
1048,pdf,100,1
1049,pdf,75,1
1050,pdf,72,1
1051,pdf,102,1
1052,pdf,69,1
1053,pdf,67,2
1054,pdf,50,2
1055,pdf,114,2
1056,pdf,78,2
1057,pdf,92,2
1058,pdf,83,2
1059,pdf,88,1
1060,pdf,104,0
1061,pdf,97,1
1062,pdf,98,2
1063,pdf,102,0
1064,pdf,79,2
1065,pdf,52,0
1066,pdf,113,0
1067,pdf,101,2
1068,pdf,98,2
1069,pdf,103,2
1070,pdf,53,0
1071,pdf,81,0
1072,pdf,118,0
1073,pdf,110,0
1074,pdf,70,2
1075,pdf,77,0
1076,pdf,73,1
1077,pdf,72,0
1078,pdf,115,2
1079,pdf,77,0
1080,pdf,40,1
1081,pdf,53,2
1082,pdf,87,0
1083,pdf,114,2
1084,pdf,113,0
1085,pdf,43,0
1086,pdf,103,2
1087,pdf,67,1
1088,pdf,86,2
1089,pdf,73,0
1090,pdf,63,2
1091,pdf,51,0
1092,pdf,59,1
1093,pdf,115,0
1094,pdf,79,2
1095,pdf,73,2
1096,pdf,85,1
1097,pdf,70,2
1098,pdf,78,2
1099,pdf,113,1
1100,pdf,86,0
1101,pdf,55,1
1102,pdf,107,1
1103,pdf,40,2
1104,pdf,79,2
1105,pdf,107,0
1106,pdf,63,1
1107,pdf,105,2
1108,pdf,53,2
1109,pdf,112,2
1110,pdf,60,2
1111,pdf,79,0
1112,pdf,76,0
1113,pdf,57,1
1114,pdf,62,1
1115,pdf,99,1
1116,pdf,51,1
1117,pdf,49,1
1118,pdf,97,0
1119,pdf,59,0
1120,pdf,42,1
1121,pdf,84,0
1122,pdf,94,0
1123,pdf,98,2
1124,pdf,103,2
1125,pdf,73,1
1126,pdf,56,2
1127,pdf,82,2
1128,pdf,86,0
1129,pdf,55,0
1130,pdf,120,1
1131,pdf,66,1
1132,pdf,94,1
1133,pdf,73,0
1134,pdf,70,2
1135,pdf,84,1
1136,pdf,63,1
1137,pdf,73,2
1138,pdf,46,0
1139,pdf,47,2
1140,pdf,42,1
1141,pdf,88,1
1142,pdf,98,2
1143,pdf,106,2
1144,pdf,58,2
1145,pdf,112,2
1146,pdf,110,1
1147,pdf,111,0
1148,pdf,80,0
1149,pdf,102,2
1150,pdf,85,2
1151,pdf,58,2
1152,pdf,104,1
1153,pdf,54,2
1154,pdf,78,0
1155,pdf,76,2
1156,pdf,107,1
1157,pdf,51,1
1158,pdf,78,1
1159,pdf,57,1
1160,pdf,46,2
1161,pdf,99,2
1162,pdf,111,2
1163,pdf,105,0
1164,pdf,58,1
1165,pdf,61,2
1166,pdf,45,1
1167,pdf,67,1
1168,pdf,42,1
1169,pdf,87,0
1170,pdf,95,1
1171,pdf,68,1
1172,pdf,119,1
1173,pdf,47,1
1174,pdf,55,1
1175,pdf,110,0
1176,pdf,84,2
1177,pdf,92,0
1178,pdf,94,0
1179,pdf,85,1
1180,pdf,96,0
1181,pdf,120,0
1182,pdf,73,2
1183,pdf,79,1
1184,pdf,64,2
1185,pdf,102,0
1186,pdf,69,0
1187,pdf,85,1
1188,pdf,101,2
1189,pdf,51,0
1190,pdf,89,2
1191,pdf,69,1
1192,pdf,86,1
1193,pdf,48,2
1194,pdf,115,2
1195,pdf,71,0
1196,pdf,43,1
1197,pdf,74,0
1198,pdf,98,0
1199,pdf,117,2
1200,pdf,109,1
1201,pdf,40,0
1202,pdf,78,0
1203,pdf,93,1
1204,pdf,43,2
1205,pdf,52,2
1206,pdf,98,2
1207,pdf,86,2
1208,pdf,119,2
1209,pdf,91,1
1210,pdf,85,1
1211,pdf,66,1
1212,pdf,118,1
1213,pdf,108,2
1214,pdf,76,0
1215,pdf,66,2
1216,pdf,93,1
1217,pdf,57,0
1218,pdf,67,1
1219,pdf,50,0
1220,pdf,88,2
1221,pdf,82,2
1222,pdf,117,1
1223,pdf,47,2
1224,pdf,41,1
1225,pdf,92,2
1226,pdf,88,1
1227,pdf,57,2
1228,pdf,80,0
1229,pdf,57,1
1230,pdf,119,1
1231,pdf,96,2
1232,pdf,82,2
1233,pdf,110,0
1234,pdf,96,1
1235,pdf,89,2
1236,pdf,42,1
1237,pdf,51,2
1238,pdf,54,1
1239,pdf,94,0
1240,pdf,94,1
1241,pdf,97,2
1242,pdf,101,0
1243,pdf,113,2
1244,pdf,109,0
1245,pdf,57,1
1246,pdf,80,1
1247,pdf,110,2
1248,pdf,113,1
1249,pdf,113,1
1250,pdf,117,0
1251,pdf,90,2
1252,pdf,63,1
1253,pdf,86,2
1254,pdf,113,2
1255,pdf,88,2
1256,pdf,53,0
1257,pdf,70,2
1258,pdf,73,2
1259,pdf,57,1
1260,pdf,94,2
1261,pdf,78,1
1262,pdf,113,0
1263,pdf,65,0
1264,pdf,70,1
1265,pdf,42,0
1266,pdf,71,0
1267,pdf,68,2
1268,pdf,107,2
1269,pdf,102,2
1270,pdf,93,1
1271,pdf,77,2
1272,pdf,53,1
1273,pdf,118,0
1274,pdf,75,1
1275,pdf,120,1
1276,pdf,49,0
1277,pdf,65,0
1278,pdf,85,0
1279,pdf,84,2
1280,pdf,117,0
1281,pdf,114,0
1282,pdf,107,2
1283,pdf,94,2
1284,pdf,96,1
1285,pdf,53,0
1286,pdf,49,0
1287,pdf,110,0
1288,pdf,77,2
1289,pdf,62,1
1290,pdf,83,2
1291,pdf,88,0
1292,pdf,51,0
1293,pdf,120,2
1294,pdf,100,2
1295,pdf,47,2
1296,pdf,115,2
1297,pdf,86,2
1298,pdf,55,2
1299,pdf,100,0
1300,pdf,50,0
1301,pdf,105,1
1302,pdf,65,1
1303,pdf,47,2
1304,pdf,76,0
1305,pdf,79,2
1306,pdf,40,2
1307,pdf,44,2
1308,pdf,100,1
1309,pdf,43,2
1310,pdf,83,2
1311,pdf,44,2
1312,pdf,79,1
1313,pdf,62,1
1314,pdf,80,2
1315,pdf,79,2
1316,pdf,77,2
1317,pdf,50,0
1318,pdf,114,0
1319,pdf,48,1
1320,pdf,69,1
1321,pdf,106,0
1322,pdf,86,0
1323,pdf,73,0
1324,pdf,55,0
1325,pdf,79,2
1326,pdf,58,1
1327,pdf,104,2
1328,pdf,78,0
1329,pdf,117,0
1330,pdf,85,0
1331,pdf,47,1
1332,pdf,49,0
1333,pdf,69,0
1334,pdf,116,0
1335,pdf,70,2
1336,pdf,119,0
1337,pdf,88,2
1338,pdf,115,1
1339,pdf,65,1
1340,pdf,62,1
1341,pdf,68,1
1342,pdf,111,1
1343,pdf,96,1
1344,pdf,61,2
1345,pdf,93,2
1346,pdf,82,2
1347,pdf,110,2
1348,pdf,90,0
1349,pdf,68,2
1350,pdf,80,2
1351,pdf,80,0
1352,pdf,120,2
1353,pdf,78,0
1354,pdf,105,2
1355,pdf,81,1
1356,pdf,91,1
1357,pdf,93,0
1358,pdf,116,2
1359,pdf,70,1
